0:40:37,Lift Stopped,L1,3
0:41:03,Enter Lift,L1,0
0:42:30,Passenger Arrival,2,
0:42:30,Button Pressed,5I19D10I,
0:42:38,Passenger Arrival,1,
0:42:42,Lift Departure,L3,7
0:42:50,Enter Lift,L3,0
0:43:00,Passenger Arrival,2,
0:43:00,Button Pressed,6U17D15U,
0:43:00,Lift Departure,L2,17
0:43:27,Passenger Arrival,2,
0:43:54,Lift Stopped,L2,3
0:44:13,Lift Stopped,L2,2
0:44:35,Lift Stopped,L2,1
0:44:42,Passenger Arrival,1,
0:44:52,Passenger Arrival,1,
0:44:57,Enter Lift,L2,0
0:45:15,Passenger Arrival,1,
0:45:15,Button Pressed,15D11U8D,
0:45:15,Lift Departure,L1,8
0:45:59,Passenger Arrival,1,
0:46:30,Lift Stopped,L1,5
0:46:44,Enter Lift,L1,0
0:47:48,Passenger Arrival,1,
0:47:48,Button Pressed,20I14D9I,
0:47:48,Lift Departure,L2,14
0:47:50,Lift Stopped,L2,13
0:48:05,Passenger Arrival,1,
0:48:15,Passenger Arrival,2,
0:48:18,Lift Stopped,L2 ,12
0:48:25,Passenger Arrival,6,
0:48:35,Lift Stopped,L2,10
0:48:55,Lift Stopped,L2 ,9
0:48:55,Passenger Arrival,2,
0:49:23,Passenger Arrival,1,
0:49:43,Lift Stopped,L2,3
0:49:45,Passenger Arrival,2,
0:49:59,Enter Lift,L2,2
0:50:40,Passenger Arrival,1,
0:50:40,Button Pressed,2I10IG,
0:50:40,Lift Departure,L1,G
0:50:40,Enter Lift,L1,0
0:50:55,Passenger Arrival,1,
0:50:55,Button Pressed,5I12I4I,
0:50:55,Lift Departure,L1,4
0:51:05,Enter Lift,L1,0
0:51:07,Passenger Arrival,1,
0:51:07,Button Pressed,12U14U5U,
0:51:15,Passenger Arrival,15,
0:52:10,Passenger Arrival,1,
0:52:39,Lift Departure,L1,19
0:52:47,Lift Stopped,L1,16
0:53:24,Passenger Arrival,2,
0:53:29,Enter Lift,L1,6
0:53:45,Passenger Arrival,3,
0:53:45,Button Pressed,3D16U1I,
0:53:45,Lift Departure,L3,3
0:53:52,Lift Stopped,L3,2
0:53:55,Passenger Arrival,3,
0:54:09,Lift Stopped,L3,1
0:54:25,Enter Lift,L3,0
0:54:35,Passenger Arrival,2,
0:54:35,Button Pressed,2U19IG,
0:54:35,Lift Departure,L1,G
0:54:35,Enter Lift,L1,0
0:55:18,Passenger Arrival,6,
